"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"14",209,"https://dadosabertos.camara.leg.br/api/v2/orgaos/209","PTCOM","PODER CONCLUSIVO NAS COMISSÕES","PODER CONCLUSIVO NAS COMISSÕES",12000,"Órgão da Câmara dos Deputados","PODER CONCLUSIVO NAS COMISSÕES"
"15",249,"https://dadosabertos.camara.leg.br/api/v2/orgaos/249","PC","PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS","PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS",12000,"Órgão da Câmara dos Deputados","PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS"
"16",253,"https://dadosabertos.camara.leg.br/api/v2/orgaos/253","EXEC","Poder Executivo","Poder Executivo",30000,"Órgão do Poder Executivo","Poder Executivo"
"17",256,"https://dadosabertos.camara.leg.br/api/v2/orgaos/256","FPS","Fundação Pioneiras Sociais","FPS",70000,"Sociedade Civil","FPS"
"18",271,"https://dadosabertos.camara.leg.br/api/v2/orgaos/271","STM","Superior Tribunal Militar","Superior Tribunal Militar",50000,"Órgão do Poder Judiciário","Superior Tribunal Militar"
"19",275,"https://dadosabertos.camara.leg.br/api/v2/orgaos/275","TST","Tribunal Superior do Trabalho","Tribunal Superior do Trabalho",50000,"Órgão do Poder Judiciário","Tribunal Superior do Trabalho"
"20",277,"https://dadosabertos.camara.leg.br/api/v2/orgaos/277","TSE","Tribunal Superior Eleitoral","Tribunal Superior Eleitoral",50000,"Órgão do Poder Judiciário","Tribunal Superior Eleitoral"
"21",292,"https://dadosabertos.camara.leg.br/api/v2/orgaos/292","LIDERPFL","LÍDER DO PFL","LÍDER DO PFL",80000,"Liderança","LÍDER DO PFL"
"22",293,"https://dadosabertos.camara.leg.br/api/v2/orgaos/293","LIDERPPB","LÍDER DO PPB","LÍDER DO PPB",80000,"Liderança","LÍDER DO PPB"
"23",294,"https://dadosabertos.camara.leg.br/api/v2/orgaos/294","LIDERPMDB","LÍDER DO PMDB","LÍDER DO PMDB",80000,"Liderança","LÍDER DO PMDB"
"24",301,"https://dadosabertos.camara.leg.br/api/v2/orgaos/301","CM","CONSELHO DE MINISTROS","CONSELHO DE MINISTROS",12000,"Órgão da Câmara dos Deputados","CONSELHO DE MINISTROS"
"25",302,"https://dadosabertos.camara.leg.br/api/v2/orgaos/302","PCM","PCM","PCM",12000,"Órgão da Câmara dos Deputados","PCM"
"26",325,"https://dadosabertos.camara.leg.br/api/v2/orgaos/325","MIC","MIC","MIC",12000,"Órgão da Câmara dos Deputados","MIC"
"27",340,"https://dadosabertos.camara.leg.br/api/v2/orgaos/340","COFF","Consultoria de Orçamento e Fiscalização Financeira da Câmara dos Deputados","Consultoria de Orçamento e Fiscalização Financeira da Câmara",12000,"Órgão da Câmara dos Deputados","Consultoria de Orçamento e Fiscalização Financeira da Câmara"
"28",342,"https://dadosabertos.camara.leg.br/api/v2/orgaos/342","COMDIR","COMISSÃO DIRETORA","COMISSÃO DIRETORA",21000,"Comissão do Senado Federal","COMISSÃO DIRETORA"
"29",344,"https://dadosabertos.camara.leg.br/api/v2/orgaos/344","LP","LÍDERES PARTIDÁRIOS","LÍDERES PARTIDÁRIOS",22000,"Órgão do Senado Federal","LÍDERES PARTIDÁRIOS"
"30",346,"https://dadosabertos.camara.leg.br/api/v2/orgaos/346","TFR","Tribunal Federal de Recursos","Tribunal Federal de Recursos",50000,"Órgão do Poder Judiciário","Tribunal Federal de Recursos"
"31",348,"https://dadosabertos.camara.leg.br/api/v2/orgaos/348","COMDIP","COMISSÃO DE DIPLOMACIA","COMISSÃO DE DIPLOMACIA",21000,"Comissão do Senado Federal","COMISSÃO DE DIPLOMACIA"
